time,year,fish,port,landings
UTC,,,,pounds
1941-08-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,1600
1941-09-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,1606
1941-10-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,892495
1941-11-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,823982
1941-12-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,834476
1942-01-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,351833
1942-02-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,58465
1942-03-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,138114
1942-04-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,0
1942-05-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,248
1942-06-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,1459
1942-07-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,1561
1942-08-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,744
1942-09-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,0
1942-10-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,665265
1942-11-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,1647060
1942-12-16T00:00:00Z,1942,"Sardine, Pacific",San Diego,2084253
1943-01-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,1295218
1943-02-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,12260
1943-03-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,24382
1943-04-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,1270
1943-05-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,1901
1943-06-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,68
1943-07-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,0
1943-08-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,0
1943-09-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,165
1943-10-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,1261638
1943-11-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,1689873
1943-12-16T00:00:00Z,1943,"Sardine, Pacific",San Diego,873600
1944-01-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,1536307
1944-02-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,18320
1944-03-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,0
1944-04-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,0
1944-05-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,0
1944-06-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,0
1944-07-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,0
1944-08-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,887
1944-09-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,0
1944-10-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,305
1944-11-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,745545
1944-12-16T00:00:00Z,1944,"Sardine, Pacific",San Diego,1295855
1945-01-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,3441114
1945-02-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,50104
1945-03-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-04-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-05-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-06-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-07-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-08-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-09-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,0
1945-10-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,658085
1945-11-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,589801
1945-12-16T00:00:00Z,1945,"Sardine, Pacific",San Diego,653458
1946-01-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,0
1946-02-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,0
1946-03-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,0
1946-04-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,0
1946-05-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,0
1946-06-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,89
1946-07-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,130
1946-08-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,153
1946-09-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,3357
1946-10-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,2343128
1946-11-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,4213667
1946-12-16T00:00:00Z,1946,"Sardine, Pacific",San Diego,2062901
1947-01-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,911995
1947-02-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,0
1947-03-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,0
1947-04-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,0
1947-05-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,488
1947-06-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,5678
1947-07-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,4653
1947-08-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,0
1947-09-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,10380
1947-10-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,2405487
1947-11-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,2337087
1947-12-16T00:00:00Z,1947,"Sardine, Pacific",San Diego,0
1948-01-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,1081
1948-02-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,96574
1948-03-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,18870
1948-04-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,28100
1948-05-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,17831
1948-06-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,29868
1948-07-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,0
1948-08-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,0
1948-09-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,0
1948-10-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,1590130
1948-11-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,4147309
1948-12-16T00:00:00Z,1948,"Sardine, Pacific",San Diego,2075138
1949-01-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,0
1949-02-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,160
1949-03-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,0
1949-04-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,0
1949-05-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,560
1949-06-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,0
1949-07-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,0
1949-08-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,371
1949-09-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,5835
1949-10-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,2613004
1949-11-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,2380976
1949-12-16T00:00:00Z,1949,"Sardine, Pacific",San Diego,702390
1950-01-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,858960
1950-02-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,5
1950-03-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,612
1950-04-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,0
1950-05-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,0
1950-06-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,515
1950-07-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,0
1950-08-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,5220
1950-09-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,2800
1950-10-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,243220
1950-11-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,1006455
1950-12-16T00:00:00Z,1950,"Sardine, Pacific",San Diego,1839269
1951-01-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,2425895
1951-02-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,295772
1951-03-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,0
1951-04-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,0
1951-05-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,1131
1951-06-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,0
1951-07-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,2341
1951-08-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,4120
1951-09-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,10095
1951-10-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,919279
1951-11-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,859222
1951-12-16T00:00:00Z,1951,"Sardine, Pacific",San Diego,907189
1952-01-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,200
1952-02-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-03-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-04-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-05-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-06-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-07-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-08-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-09-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-10-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,25903
1952-11-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,0
1952-12-16T00:00:00Z,1952,"Sardine, Pacific",San Diego,28019
1953-01-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-02-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-03-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-04-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-05-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-06-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-07-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-08-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-09-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,0
1953-10-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,553851
1953-11-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,26907
1953-12-16T00:00:00Z,1953,"Sardine, Pacific",San Diego,26227
1954-01-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-02-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-03-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-04-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-05-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-06-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-07-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-08-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-09-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,0
1954-10-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,17158
1954-11-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,367461
1954-12-16T00:00:00Z,1954,"Sardine, Pacific",San Diego,586475
1955-01-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-02-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-03-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-04-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-05-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-06-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-07-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-08-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-09-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-10-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-11-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1955-12-16T00:00:00Z,1955,"Sardine, Pacific",San Diego,0
1956-01-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-02-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-03-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-04-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-05-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-06-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,12324
1956-07-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-08-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-09-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-10-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1956-11-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,5850
1956-12-16T00:00:00Z,1956,"Sardine, Pacific",San Diego,0
1957-01-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-02-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-03-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-04-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-05-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,13450
1957-06-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,1720
1957-07-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-08-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-09-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-10-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-11-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
1957-12-16T00:00:00Z,1957,"Sardine, Pacific",San Diego,0
